#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
baraag.net,suspend,false,false,"lolicon, child-porn",false
bae.st,suspend,false,false,"fashism, harassment",false
beefyboys.win,suspend,false,fale,"national socialism",false
cawfee.club,suspend,false,false,"discrimination, racism, ""free speech zone""",false
cum.salon,suspend,false,fale,"homomisia, racism, suicide proposal",false
chudbuds.lol,suspend,false,fale,"gore, racism, homomisia, trans hostility, anti-semitism",false
club.darknight-coffee.eu,suspend,false,false,"""free speech zone""",false
comfyboy.club,suspend,false,false,"discrimination, racism",false
daishouri.moe,suspend,false,false,fashism,false
detroitriotcity.com,suspend,false,false,"discrimination, racism, ""free speech zone""",false
gegenstimme.tv,suspend,false,false,"""free speech zone""",true
freeatlantis.com,suspend,false,fale,"Trumpism, Ultra-MAGA",false
freecumextremist.com,suspend,false,fale,"rape",false
freespeechextremist.com,suspend,false,false,"discrimination, racism, ""free speech zone""",false
freefedifollowers.ga,suspend,false,false,spam,false
frennet.link,suspend,false,false,"discrimination, racism, ""free speech zone""",false
f.haeder.net,suspend,false,false,discrimination,false
gab.ai,suspend,false,false,"discrimination, racism, ""free speech zone""",false
gab.com,suspend,false,false,"racism, hatespeech, ""free speech""",false
gameliberty.club,suspend,false,false,"racism, lolicon",false
gitmo.life,suspend,false,false,"""free speech zone""",false
gleasonator.com,suspend,false,fale,"racism, AntiSemitism, TransMisia",false
glindr.org,suspend,false,false,discrimination,false
glowers.club,suspend,false,false,"discrimination, racism, ""free speech zone""",false
iddqd.social,suspend,false,fale,"TransMisia, racism, AntiSemitism, conspiracism",false
noagendasocial.com,suspend,false,false,"anti-semitism, racism",false
nicecrew.digital,suspend,false,fale,"racism",false
paypig.org,suspend,false,false,racism,false
pawoo.net,suspend,false,false,"national socialism",false
pieville.net,suspend,false,false,"anti semitism, national socialism, racism, ableism, homo-misia",false
poa.st,suspend,false,false,"racism, homomisia, violence, conspiracism",false
rdrama.cc,suspend,false,fale,"racism",false
ryona.agency,suspend,false,fale,"racism, ansi semitism, misogyny, trans hostility",false
shitposter.club,suspend,false,false,"racism",false
spinster.xyz,suspend,false,false,"trans hostility", false
yggdrasil.social,suspend,false,fale,"national socialism, racism, trans hostility",false
honkwerx.tech,suspend,false,false,racism,false
itmslaves.com,suspend,false,false,"""free speech zone""",false
jaeger.website,suspend,false,false,"discrimination, racism, ""free speech zone""",false
kenfm.quadplay.tv,suspend,false,false,Verschwörungstheoretische Inhalte,false
kiwifarms.cc,suspend,false,false,discrimination,false
libre.tube,suspend,false,false,Verherrlichung von Mord,false
mastodon.popps.org,suspend,false,false,discrimination,false
meta-tube.de,suspend,false,false,"conspiracy theories, COVID-19 deniers",false
midnightride.rs,suspend,false,false,discrimination,false
mstdn.foxfam.club,suspend,false,false,Twitter-Mirror from right-wing accounts,false
nicecrew.digital,suspend,false,false,"discrimination, racism, ""free speech zone""",false
ns.auction,suspend,false,false,Rechtsextreme Inhalte,false
newjack.city,suspend,false,false,ungewünschte Bots,false
noagendasocial.com,suspend,false,false,"""free speech zone""",false
pieville.net,suspend,false,false,"racism, Antisemitismus",false
play.xmr.101010.pl,suspend,false,false,crypto-mining,false
pleroma.rareome.ga,suspend,false,false,"circumvention of blocks, lolicons",false
pleroma.kitsunemimi.club,suspend,false,false,discrimination,false
pleroma.nobodyhasthe.biz,suspend,false,false,doxxing,false
pleroma.narrativerry.xyz,suspend,false,false,"anti-queer, racism, Ableismus",false
freeatlantis.com,suspend,false,false,Nazis,false
posting.lolicon.rocks,suspend,false,false,"trans hostility, lolicon",false
pl.natehiggers.online,suspend,false,false,racism,false
pl.info.natehiggers.online,suspend,false,false,racism,false
shitposter.club,suspend,false,false,"""free speech zone""",false
sneak.berlin,suspend,false,false,Privacy bypass,false
social.urspringer.de,suspend,false,false,COVID-19 deniers,false
social.ancreport.com,suspend,false,false,"discrimination, racism, ""free speech zone""",false
socnet.supes.com,suspend,false,false,"""free speech zone""",false
solagg.com,suspend,false,false,Scam,false
toot.canberrasocial.net,suspend,false,false,"""free speech zone""",false
tube.kenfm.de,suspend,false,false,conspiracy theories,false
tube.querdenken-711.de,suspend,false,false,conspiracy theories,false
twitter.activitypub.actor,suspend,false,false,twitter-crossposting-bot,false
twtr.plus,suspend,false,false,twitter-crossposting-bot,false
varishangout.net,suspend,false,false,trans hostility,false
wiki-tube.de,suspend,false,false,"right-wing, conspiracy theories, antivaxxers",false
wintermute.fr.to,suspend,false,false,discrimination,false
yggdrasil.social,suspend,false,false,discrimination,false
beta.birdsite.live,silence,false,false,Twitter-Crossposter,false
birb.elfenban.de,silence,false,false,Twitter-Crossposter,false
bird.evilcyberhacker.net,silence,false,false,Twitter-Crossposter,false
bird.froth.zone,silence,false,false,Twitter-Crossposter,false
bird.nzbr.de,silence,false,false,Twitter-Crossposter,false
birdbots.leptonics.com,silence,false,false,Twitter-Crossposter,false
birdsite.b93.dece.space,silence,false,false,Twitter-Crossposter,false
birdsite.link,silence,false,false,Twitter-Crossposter,false
birdsite.monster,silence,false,false,Twitter-Crossposter,false
birdsite.slashdev.space,silence,false,false,Twitter-Crossposter,false
birdsitelive.treffler.cloud,silence,false,false,Twitter-Crossposter,false
birdsite.wilde.cloud,silence,false,false,Twitter-Crossposter,false
bridge.birb.space,silence,false,false,Twitter-Crossposter,false
social.xcess.one,suspend,false,false,„free speech zone“,false
eatthebugs.social,suspend,false,false,Antisemitismus,false
spinster.xyz,suspend,false,false,trans hostility,false
neenster.org,suspend,false,false,trans hostility,false
